filename,cloaked_distance,ai_distance
46_1_1_20170116001421842,0.21958,0.206386
51_0_0_20170111171747330,0.321756,0.446891
75_0_0_20170111210855670,0.170696,0.211146
70_1_0_20170110124127878,0.463974,0.470717
65_0_1_20170111205129846,0.373983,0.347317
27_1_1_20170112203947771,0.446655,0.452077
59_0_0_20170111171747514,0.577105,0.555882
62_1_1_20170113013045520,0.49708,0.450638
48_1_1_20170109220559770,0.411445,0.512307
56_0_3_20170117191908449,0.340392,0.545206
52_1_0_20170110122416544,0.396276,0.521079
22_1_2_20170116220943302,0.238698,0.312281
28_1_1_20170115235013113,0.066125,0.242827
57_1_0_20170117135732680,0.251133,0.369319
99_1_2_20170117195405372,ERROR,ERROR
24_1_1_20170113011240168,ERROR,ERROR
66_1_0_20170110132405672,0.239939,0.29319
25_0_1_20170113184508496,0.704885,0.34078
35_1_0_20170117191606659,0.596511,0.602717
55_1_0_20170109220443515,0.940541,0.874176
72_1_0_20170110153738448,0.340105,0.443303
26_1_1_20170113012346273,0.565811,0.545423
23_0_3_20170119164028527,0.357215,0.420773
22_1_1_20170114030733636,0.129765,0.2329
29_1_1_20170113010931254,0.356708,0.366269
60_1_0_20170110151345930,0.389666,0.385994
23_0_4_20170117194130117,0.492133,0.611771
59_1_0_20170110141807087,ERROR,ERROR
37_0_1_20170117134417970,0.194451,0.372951
58_0_0_20170111210401778,0.418487,0.499452
88_1_1_20170110183118502,0.007159,0.866121
62_1_0_20170110160643751,0.411033,0.445422
76_1_0_20170110182047993,0.77492,0.758356
37_1_1_20170116152605949,ERROR,ERROR
44_1_0_20170117190015938,0.438402,0.367393
42_0_0_20170117154753026,0.0,0.626723
47_1_0_20170109220604136,0.50272,0.490462
70_0_0_20170117173652480,0.041181,0.81233
35_1_4_20170117201436958,0.398584,0.789403
24_1_4_20170117194829684,0.638518,0.6393
65_1_0_20170110132446063,0.508548,0.586037
39_0_0_20170117154211467,0.443298,0.585779
38_0_1_20170116205307165,0.315022,0.404059
